tag,category
CashTaxDistributionsWhollyOwnedSubsidiaryToClassBShareholders,Assets
NonCashChangeInExitActivitiesAndRestructuringLiability,Assets
DeferredCostsCurrentAndNoncurrentAcquired,Expenses
NewSevenyearPlanofEligibleInvestmentsUnderTDSICAmountofInvestment,Assets
CapitalContributiontoSubsidiary,Equity
TransitionalandSkilledServicesandAssistantandIndependentLivingCampuses,Other
PercentageOfResidualMarketBusinessWrittenDirectlyForMandatoryPoolsAndCededBackToMandatoryPools,Other
RoyaltyAndFranchiseIncome,Other
TheCompanyHadInPrepaidRent_PrepaidEquipment,Assets
FairValueofAcquireeEquityAwardsnotEarnedasofMergerDate,Equity
RestructuredLoansModifiedByReductionInInterest,Other
EquityMethodInvestmentSummarizedFinancialInformationRealizedGainLossonInvestmentsandSecuredBorrowings,Assets
GainLossonInvestmentsandDerivatives,Assets
MilestonePaymentReceivableUponReceiptOfRegulatoryApprovalOfProduct,Assets
IncomeTaxReconciliationChangeInDeferredTaxRate,Liabilities
IncreaseDecreaseInDistributorRevenue,Revenue
NonInventoryLoanThresholdLimitForReviewByAuditCommittee,Assets
PercentageOfClaimNetSmelterReturn,Other
AccountsPayableAndAccountsPayableRelatedPartiesCurrent,Liabilities
PercentageOfVotingInterestControlledByNonChairmanMemberOfTheControllingStockholderEntity,Equity
AdjustmentsToAdditionalPaidInCapitalTaxShortfallFromShareBasedCompensation,Equity
ScheduleOfEarningsPerShareBasicAndDilutedZeroThreeFourNineEightZerolOnecSevenpTyZvqPH,Income
PercentageOfPlacementFeeBasedOnGrossProceedsRaisedInOffering,Cash Flow
FairValueOfCommonStockOptionsIssuedAsCompensation,Equity
NumberOfAffiliatedMutualFundsTrustees,Other
ResortandClubManagementRevenue,Revenue
HeldToMaturitySecuritiesRealizedGain,Assets
CommonStockDividendDeclaredBasedOnDailyAmountPerShare,Equity
InvestmentOwnedOwnershipPercentage,Assets
PaymentToEmployeeAdvances,Cash Flow
ProvisionForDoubtfulAccountsAndInventoryAdjustments,Assets
TreasuryStockSharesAcquiredNetOfTaxWithholdings,Equity
IncomeLossFromEquityMethodInvestmentsCashFlowEffect,Assets
ChangeInAccruedRelatedPartyInterest,Other
Numberofownedandoperatedrenewableenergybusinesses,Other
SoftwareAcquisitionExpense,Expenses
DivestmentExpenses,Expenses
FinancialServicesIncomeLossFromEquityMethodInvestments,Assets
WirelessCommunicationsProductsRevenue,Revenue
IncentiveRevenue,Revenue
UnrecognizedTaxExpenseForUsSourceShippingIncome,Expenses
OtherOrganizationAndOfferingCosts,Expenses
SiembraMineraBeneficialOwnershipByVenezuela,Other
StockRepurchasedandRetiredDuringPeriodAccrued,Equity
UnrecognizedTaxBenefitsreversingwithin12monthsthatwouldimpactETR,Other
DerivativeAssetFairValueGrossAssetByCounterparty,Assets
StockIssuedDuringPeriodValueStepAcquisitions,Equity
StockIssuedDuringPeriodValueMergers,Equity
PerformanceUnitsAdjustmentForPerformanceMultiplierRangeMaximum,Other
OtherComprehensiveIncomeLossTaxExpenses,Expenses
ConversionOfNotesPayable,Liabilities
TumbleweedOwesTheJointVentureCompanyRepresentingIts40ShareOfCostsInExcessOfTheFirst,Expenses
PercentageOfLoansToLoans,Other
RealEstateHeldForSaleImprovements,Other
PaymentForLoanAndLeaseOriginationsAndPrincipalCollections,Cash Flow
AllocatedToAdditionalPaidInCapitalForTheIntrinsicValueOfTheBeneficialConversionFeature,Equity
NumberOfReportingUnitsImpactOnNetRevenueAndProfitability,Revenue
DebtRefinancingNewMortgageLoans3,Liabilities
FavorableCharterPartyContractsAmortizationinThreeYears,Expenses
ClientCollectedCashAndCashEquivalentsAtCarryingValue,Assets
FinancingReceivableCreditQualityRelationshipThresholdforReview,Assets
OtherComprehensiveIncomeLossFinancialLiabilitiesAdjustmentExcludingOpeningImpactNetofTax,Liabilities
NumberofROICAwardsExcludedfromDilutedSharesOutstanding,Equity
IndemnificationLiabilityDeductibleAmount,Liabilities
DerivativeSwapsTerminatedNotSettled,Other
ScheduleOfDisclosureOfSharebasedCompensationArrangementsBySharebasedPaymentAwardZeroThreeFourEightEightThreeNineEightNinevzdhvwDVSNKf,Cash Flow
Cashcashequivalentsandrestrictedcashperiodincreasedecrease,Assets
ConvertibleNote4TypenexBalanceAtJune302016,Other
AllocatedShareBasedCompensationExpenseCredit,Expenses
RestrictedStockWithholdings,Equity
StockRepurchasedAndRetiredAtEndOfPeriodValue,Equity
ComputerAmpEquipmentCostAtMarch312017,Assets
CoveredLoansNonaccrual,Other
IssuanceOfSeriesPreferredStockAsPaymentOfOfferingCosts,Expenses
InvestmentInJointVenturesDeficit,Assets
FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisAssetValue,Assets
AggregateWarrantReceived,Other
GainOnSaleOfSubsidiaryToJointVenture,Cash Flow
RetirementPlanAnnuitiesIncome,Other
ProceedFromPaymentsToJointInterestPartners,Cash Flow
AvailableforsaleSecuritiesExpectedDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,Revenue
AccretionOfDirectFinancingLease,Other
DiscontinuedOperationTaxEffectOfIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriod,Other
DebtRetirementExpense,Expenses
TotalIntangibleAssetsAmortizationExpense,Expenses
ScheduleOfSegmentReportingInformationRevenuesBySegmentZeroThreeFiveZeroNineFourZeroZeroSevenHfPTwodyLHwbGV,Revenue
RangeOfExercisePrices001039OptionsOutstanding,Other
AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTaxPortionAttributableNoncontrollingInterest,Revenue
Goodwillreallocation,Assets
ConvertibleDebenture,Other
LoanPayableForAcquisitionOfEquipment,Assets
AccruedInterestExpensesCurrent,Expenses
SelfInsurancePlanIndividualClaimMinimumAmount,Other
LiabilityforClaimsandClaimsAdjustmentExpenseLife,Expenses
DueToJointVenturePartners,Other
PercentageOfInventoryPurchasesFromTopTwoSuppliers,Assets
AccruedInterestReceivablesFairValueDisclosures,Assets
CommitmentsAndContingenciesZeroThreeFiveTwoFiveZeroTDQhrFSThreeMNkb,Other
SharesOutstandings,Equity
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsAndStockAppreciationRightOutstandingWeightedAverageExercisePrice,Equity
NonServicePensionCosts,Expenses
NumberOfSeparatePropertyOrFundCoInvestments,Assets
InterestandOtherIncomeIncludingDiscontinuedOperations,Other
NumberOfSeparateParagraphFourNotices,Other
TotalOtherOperatingActivities,Other
SettlementsAndDefenseFees,Other
ReinsuranceRecoverablesOnUnpaidLosses,Other
PublicUtilitiesPropertyPlantAndEquipmentOtherPropertyAtCostLessAccumulatedDepreciation,Expenses
RoyaltyPerTonYear2,Other
Fairvalueofcommonstockissuedforfutureservices,Equity
ScheduleOfChangesInConstructionInProgressByProjectZeroThreeFiveOneNineZeroSevenXsSevenNDpcCZeroSZero,Other
NumberOfLimitedPartnershipUnitsIssuedToNonControlling,Other
PoliciesReinsuredbyForeignCompanyNotEngagedinInsurance,Other
IncreaseDecreaseInDistributionsPayable,Liabilities
AggregateGuaranteedMinimumDeathBenefitValueOnVariableAnnuityPoliciesInForce,Other
SaleOfCommonStockAndWarrantsPricePerShares,Equity
NetIncomeLossAttributableToCommonStockholdersAndNoncontrollingInterestBasic,Equity
IssuanceOfCommonStockSharesInConvertibleNotesPayableAndRelatedAccruedInterest,Liabilities
DeferredInterestNumberOfQuarterlyPayments,Liabilities
ImpairedFinancingReceivableWithNoRelatedAllowanceInterestIncomeRecognized,Assets
VectrensemissionrateasmeasuredinlbsCO2MWhpriortoinstallationofnewtechnology,Other
PaymentsForAffordableHousingPrograms,Cash Flow
AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughThreeFairValue,Revenue
RevenuesRecordedInExcessOfFunding,Revenue
StockIssuedDuringPeriodSharesStockOptionsExercisedGross,Equity
PropertySalesDeposits,Revenue
PercentageOfGasRevenueGeneratedInGivenPeriod,Revenue
PaymentsForProceedsFromOtherInterestEarningAssets,Assets
PaymentsToAcquireInterestInSubsidiariesAndAffiliatesNetOfCashAcquired,Assets
BankCovenantMinimumNetWorthRequirementPostAmendment,Other
EquityMethodInvestmentsSeriesOfIndividuallyImmaterialInvestments,Assets
SharesRemainAvailableForPurchase,Equity
FindersFeePaidOnConvertiblePromissoryNote,Other
ResearchAndClinicalTrialExpenses,Expenses
ShareBasedCompensationShareWarrantsIssuedAsPartOfSettlementWeightedAverageExercisePrice,Other
SummaryOfInvestmentsOtherThanInvestmentsInRelatedPartiesCost,Assets
NonaccrualTroubleDebtRestructuringCurrent,Liabilities
PaymentstoAcquireOilandGasPropertyandEquipmentandtoExploreandDevelopOilandGasProperties,Assets
OtherUtilityIncome,Other
AccruedSampleProcessingFees,Other
Percentageofperformancesharepayoutmeasuredbyreturnoninvestedcapital,Equity
PrepaidHealthInsuranceNoncurrent,Other
ReconciliationOfOperatingProfitLossFromSegmentsToConsolidatedNonCashAdjustments,Assets
HolidayPayAllowancenetSalary,Other
ScheduleOfPledgedDepositsZeroThreeFiveThreeEightZeroQsSixLBZgGTwoKGZero,Other
AccruedRevenuePayableCurrent,Revenue
